Unnamed: 0, Residential Aged Care Home Expenditure for the quarter 1 April to 30 June 2025,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,Total Residential,,ACH (name),ACH (name),ACH (name),
,Care Expenses,,,,,,
,Labour Costs - Direct Care:,,,,,,
,◦ Registered nurses,0,,0,0,0,
,◦ Enrolled nurses (registered with the NMBA) ,0,,0,0,0,
,◦ Personal care workers / assistant in nursing,0,,0,0,0,
,◦ Care management staff,0,,0,0,0,
,◦ Allied health ,0,,0,0,0,calculated
, - Physiotherapist ,0,,0,0,0,
, - Occupational therapist,0,,0,0,0,
, - Speech pathologist,0,,0,0,0,
, - Podiatrist,0,,0,0,0,
, - Dietetic care,0,,0,0,0,Linked to Food & Nutrition tab
, - Other allied health,0,,0,0,0,
, - Allied health assistants,0,,0,0,0,
,◦ Diversional/Lifestyle/Recreation/Activities officer,0,,0,0,0,
,Total Employee Labour Costs - Direct Care,0,,0,0,0,calculated
,Agency Staff Costs - Direct Care Detail,,,,,,
,◦ Registered nurses,0,,0,0,0,
,◦ Enrolled nurses (registered with the NMBA) ,0,,0,0,0,
,◦ Personal care workers / assistant in nursing,0,,0,0,0,
,◦ Care management staff,0,,0,0,0,
,◦ Allied health ,0,,0,0,0,calculated
, - Physiotherapist ,0,,0,0,0,
, - Occupational therapist,0,,0,0,0,
, - Speech pathologist,0,,0,0,0,
, - Podiatrist,0,,0,0,0,
, - Dietetic care,0,,0,0,0,Linked to Food & Nutrition tab
, - Other allied health,0,,0,0,0,
, - Allied health assistants,0,,0,0,0,
,◦ Diversional/Lifestyle/Recreation/Activities officer ,0,,0,0,0,
,Total Agency Staff Cost - Direct Care,0,,0,0,0,calculated
,Total Direct Care Labour Costs,0,,0,0,0,calculated
,,,,,,,
,,,,,,,
,Labour Hours,,,,,,
,Labour Worked Hours - Direct Care:,,,,,,
,◦ Registered nurses,0,,0,0,0,calculated
," - Morning Shift ((e.g., 7am-3pm)",0,,0,0,0,
," - Afternoon Shift(e.g.,3pm-11pm)",0,,0,0,0,
," - Overnight Shift(e.g.,11pm-7am)",0,,0,0,0,
,◦ Enrolled nurses (registered with the NMBA) ,0,,0,0,0,
,◦ Personal care workers  / assistant in nursing,0,,0,0,0,
,◦ Care management staff,0,,0,0,0,
,◦ Allied health ,0,,0,0,0,calculated
